"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"wf_sweep"
"07/24/2026 02:00:29:408 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","influence_weight_friend","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"2","0.25","56","4.051383399209486","10","253","225","9.106719367588934"
"4","0.25","56","4.03347280334728","12","239","294","9.297071129707113"
"3","0.25","49","3.7472527472527473","11","273","285","9.355311355311356"
"1","0.25","51","4.088","6","250","230","9.312"
"5","0.25","46","4.109965635738831","8","291","303","9.360824742268042"
"2","0.25","57","4.055776892430279","11","251","225","9.0199203187251"
"4","0.25","57","4.025210084033613","12","238","294","9.252100840336135"
"3","0.25","50","3.9926739926739927","11","273","285","9.355311355311356"
"6","0.25","58","4.0813953488372094","16","258","340","9.046511627906977"
"5","0.25","47","4.110726643598616","10","289","303","9.294117647058824"
"3","0.25","51","3.989010989010989","11","273","285","9.355311355311356"
"5","0.25","48","4.111111111111111","11","288","303","9.256944444444445"
"6","0.25","59","4.0852713178294575","16","258","340","9.046511627906977"
"1","0.25","52","4.088709677419355","6","248","242","9.330645161290322"
"4","0.25","58","4.033755274261603","12","237","310","9.350210970464135"
"6","0.25","60","4.081712062256809","16","257","340","9.011673151750973"
"4","0.25","59","4.0256410256410255","13","234","310","9.222222222222221"
"1","0.25","53","4.093117408906883","6","247","242","9.327935222672064"
"3","0.25","52","3.989010989010989","11","273","291","9.3992673992674"
"4","0.25","60","4.034188034188034","13","234","310","9.222222222222221"
"2","0.25","58","4.063745019920319","11","251","266","9.346613545816734"
"1","0.25","54","4.093117408906883","6","247","242","9.327935222672064"
"3","0.25","53","3.988929889298893","12","271","291","9.335793357933579"
"2","0.25","59","4.067729083665339","11","251","266","9.346613545816734"
"2","0.25","60","4.064","12","250","266","9.304"
"3","0.25","54","3.988888888888889","12","270","291","9.296296296296296"
"1","0.25","55","4.093877551020408","6","245","255","9.404081632653062"
"1","0.25","56","4.094262295081967","6","244","255","9.360655737704919"
"5","0.25","49","3.745222929936306","11","314","322","9.235668789808917"
"6","0.25","61","3.859778597785978","16","271","368","9.343173431734318"
"1","0.25","57","4.091286307053942","6","241","255","9.236514522821576"
"5","0.25","50","4.102893890675241","11","311","322","9.131832797427652"
"3","0.25","55","3.992565055762082","12","269","305","9.360594795539033"
"6","0.25","62","4.07037037037037","16","270","368","9.303703703703704"
"4","0.25","61","3.7171314741035855","13","251","335","9.187250996015937"
"5","0.25","51","4.102893890675241","11","311","322","9.131832797427652"
"3","0.25","56","3.985074626865672","12","268","305","9.32089552238806"
"6","0.25","63","4.074074074074074","16","270","368","9.303703703703704"
"4","0.25","62","4.0199203187251","13","251","335","9.187250996015937"
"3","0.25","57","3.9813432835820897","12","268","305","9.32089552238806"
"4","0.25","63","4.035856573705179","13","251","335","9.187250996015937"
"1","0.25","58","4.0875","7","240","272","9.333333333333334"
"2","0.25","61","3.7527675276752768","12","271","282","9.261992619926199"
"1","0.25","59","4.084033613445378","8","238","272","9.252100840336135"
"2","0.25","62","4.04074074074074","12","270","282","9.222222222222221"
"1","0.25","60","4.080851063829787","10","235","272","9.12340425531915"
"6","0.25","64","4.066666666666666","16","270","380","9.392592592592592"
"2","0.25","63","4.07037037037037","12","270","282","9.222222222222221"
"4","0.25","64","4.036290322580645","14","248","349","9.169354838709678"
"5","0.25","52","4.12621359223301","11","309","343","9.197411003236246"
"6","0.25","65","4.066666666666666","16","270","380","9.392592592592592"
"3","0.25","58","3.9849624060150375","12","266","321","9.360902255639099"
"4","0.25","65","4.044715447154472","15","246","349","9.121951219512194"
"5","0.25","53","4.12012987012987","12","308","343","9.162337662337663"
"6","0.25","66","4.066666666666666","16","270","380","9.392592592592592"
"4","0.25","66","4.048979591836734","15","245","349","9.077551020408164"
"3","0.25","59","3.981060606060606","13","264","321","9.295454545454545"
"5","0.25","54","4.126623376623376","12","308","343","9.162337662337663"
"3","0.25","60","3.9809885931558937","13","263","321","9.254752851711027"
"2","0.25","64","4.071161048689139","14","267","291","9.176029962546817"
"2","0.25","65","4.071161048689139","14","267","291","9.176029962546817"
"6","0.25","67","4.066666666666666","16","270","390","9.466666666666667"
