"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"CVD_Risk_Behaviour.nlogox"
"Experiment_4C_Growth_Homophily"
"07/28/2026 22:23:22:464 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","annual_inflow","monthly-outmigration-prob","influence_weight_friend","gamma_net","relapse_friend_threshold","p_relapse","gamma_behavior","N_h","t_lag_years","theta_tol","omega_age","influence_weight_household","F_max","[step]","count turtles","mean [risk-score] of turtles"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","33","248","4.028225806451613"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","57","251","4.01593625498008"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","28","247","3.931174089068826"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","25","274","3.7153284671532845"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","49","283","3.7597173144876326"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","29","247","3.931174089068826"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","49","256","3.78515625"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","50","282","3.9893617021276597"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","30","245","3.9306122448979592"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","26","273","3.978021978021978"
