"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"wh_sweep"
"07/24/2026 01:58:07:708 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","influence_weight_household","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"3","0","40","4","6","239","233","9.322175732217573"
"1","0","33","4","3","248","133","9.25"
"5","0","30","4","3","252","124","9.047619047619047"
"3","0","41","4","6","237","233","9.232067510548523"
"6","0","26","4.0115384615384615","3","260","174","9.123076923076923"
"3","0","42","4","6","236","233","9.186440677966102"
"4","0","40","4","10","237","237","9.50210970464135"
"6","0","27","4","3","259","174","9.08108108108108"
"4","0","41","4","11","236","237","9.457627118644067"
"5","0","31","4","3","251","138","9.115537848605578"
"4","0","42","4","11","235","237","9.412765957446808"
"3","0","43","4","6","235","254","9.327659574468084"
"1","0","34","4","3","248","149","9.379032258064516"
"5","0","32","4.008","4","250","138","9.072"
"2","0","37","3.746376811594203","4","276","196","9.282608695652174"
"3","0","44","4","6","235","254","9.327659574468084"
"1","0","35","4","3","248","149","9.379032258064516"
"6","0","28","4","3","257","189","9.11284046692607"
"2","0","38","3.996376811594203","4","276","196","9.282608695652174"
"5","0","33","4.008064516129032","5","248","138","8.983870967741936"
"3","0","45","4","6","234","254","9.282051282051283"
"4","0","43","4","11","235","251","9.53191489361702"
"2","0","39","4","5","274","196","9.211678832116789"
"1","0","36","4","3","247","149","9.34412955465587"
"6","0","29","4","5","255","189","9.035294117647059"
"4","0","44","4","12","234","251","9.487179487179487"
"6","0","30","4","6","253","189","8.948616600790514"
"4","0","45","4","12","234","251","9.487179487179487"
"3","0","46","4","6","234","268","9.401709401709402"
"3","0","47","4","7","233","268","9.356223175965665"
"2","0","40","4","5","274","209","9.306569343065693"
"3","0","48","4","7","233","268","9.356223175965665"
"5","0","34","4.008064516129032","5","248","158","9.14516129032258"
"4","0","46","4","13","233","258","9.50214592274678"
"1","0","37","3.742424242424242","3","264","160","9.234848484848484"
"4","0","47","4","13","233","258","9.50214592274678"
"6","0","31","4","6","253","223","9.217391304347826"
