"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"gamma_sweep"
"07/24/2026 01:56:28:138 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","gamma_behavior","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"6","1","16","4.048582995951417","0","247","120","9.271255060728745"
"4","4","14","4.013953488372093","3","215","100","9.283720930232558"
"4","4","15","4.014018691588785","4","214","100","9.233644859813085"
"2","1","11","4.0344827586206895","1","232","84","9.612068965517242"
"6","1","17","4.044715447154472","0","246","120","9.227642276422765"
"3","2","17","3.9683794466403164","2","253","91","9.33596837944664"
"5","0.5","19","4.077922077922078","3","231","107","9.454545454545455"
"6","1","18","4.044715447154472","0","246","120","9.227642276422765"
"2","1","12","4.034632034632034","2","231","84","9.567099567099566"
"5","0.5","20","4.077922077922078","3","231","107","9.454545454545455"
"3","2","18","3.9683794466403164","2","253","91","9.33596837944664"
"5","0.5","21","4.077922077922078","3","231","107","9.454545454545455"
"1","0.5","10","4.013452914798206","2","223","106","9.605381165919283"
"4","4","16","4.018779342723005","5","213","116","9.36150234741784"
"1","0.5","11","4.017937219730942","2","223","106","9.605381165919283"
"4","4","17","4.023696682464455","5","211","116","9.260663507109005"
"4","4","18","4.023696682464455","5","211","116","9.260663507109005"
"1","0.5","12","4.02262443438914","3","221","106","9.51131221719457"
"6","1","19","4.044715447154472","0","246","136","9.357723577235772"
"2","1","13","3.8353909465020575","2","243","94","9.497942386831276"
"6","1","20","4.040816326530612","0","245","136","9.314285714285715"
"5","0.5","22","4.078602620087336","5","229","113","9.414847161572052"
"3","2","19","3.9682539682539684","2","252","94","9.317460317460318"
"5","0.5","23","4.079295154185022","5","227","113","9.33920704845815"
"4","4","19","4.023809523809524","5","210","129","9.342857142857143"
"6","1","21","4.036885245901639","1","244","136","9.311475409836065"
"3","2","20","3.9681274900398407","2","251","94","9.274900398406375"
"4","4","20","4.023809523809524","5","210","129","9.342857142857143"
"5","0.5","24","4.071111111111111","7","225","113","9.244444444444444"
"2","1","14","4.065843621399177","2","243","94","9.497942386831276"
"3","2","21","3.9681274900398407","2","251","94","9.274900398406375"
"2","1","15","4.0578512396694215","2","242","94","9.454545454545455"
"4","4","21","4.014354066985646","5","209","129","9.301435406698564"
"6","1","22","4.036885245901639","1","244","148","9.40983606557377"
"1","0.5","13","3.7905982905982905","3","234","122","9.427350427350428"
"6","1","23","4.037037037037037","1","243","148","9.407407407407407"
"6","1","24","4.037037037037037","1","243","148","9.407407407407407"
"3","2","22","3.968","2","250","103","9.304"
"1","0.5","14","4.012875536480687","3","233","122","9.381974248927039"
"2","1","16","4.058091286307054","2","241","98","9.443983402489627"
"4","4","22","4.019138755980861","5","209","144","9.444976076555024"
"1","0.5","15","4.012875536480687","3","233","122","9.381974248927039"
"3","2","23","3.968","2","250","103","9.304"
"2","1","17","4.058333333333334","2","240","98","9.4"
"5","0.5","25","3.7958333333333334","7","240","136","9.216666666666667"
"3","2","24","3.968","2","250","103","9.304"
"2","1","18","4.054621848739496","2","238","98","9.3109243697479"
"4","4","23","4.019138755980861","5","209","144","9.444976076555024"
"5","0.5","26","4.079166666666667","7","240","136","9.216666666666667"
"4","4","24","4.019230769230769","5","208","144","9.39423076923077"
"5","0.5","27","4.083682008368201","7","239","136","9.171548117154812"
"1","0.5","16","4.012931034482759","3","232","136","9.456896551724139"
"6","1","25","3.8260869565217392","2","253","157","9.367588932806324"
"2","1","19","4.054621848739496","2","238","112","9.428571428571429"
"2","1","20","4.054621848739496","2","238","112","9.428571428571429"
"6","1","26","3.967871485943775","3","249","157","9.244979919678714"
"1","0.5","17","4.012931034482759","3","232","136","9.456896551724139"
"4","4","25","3.6130434782608694","5","230","155","9.017391304347827"
"5","0.5","28","4.084033613445378","7","238","145","9.210084033613445"
"2","1","21","4.059071729957806","3","237","112","9.38396624472574"
"6","1","27","3.9635627530364372","3","247","157","9.157894736842104"
"4","4","26","4.013215859030837","5","227","155","8.92511013215859"
"1","0.5","18","4.008695652173913","5","230","136","9.365217391304348"
"5","0.5","29","4.084388185654008","7","237","145","9.164556962025317"
"4","4","27","4.013215859030837","5","227","155","8.92511013215859"
"3","2","25","3.741444866920152","3","263","115","9.307984790874524"
"3","2","26","3.946768060836502","3","263","115","9.307984790874524"
"5","0.5","30","4.084388185654008","7","237","145","9.164556962025317"
"3","2","27","3.9657794676806084","3","263","115","9.307984790874524"
"2","1","22","4.059071729957806","3","237","125","9.49367088607595"
"2","1","23","4.059071729957806","3","237","125","9.49367088607595"
"6","1","28","3.9595141700404857","3","247","181","9.352226720647772"
"4","4","28","4.013215859030837","5","227","178","9.127753303964758"
"6","1","29","3.9595141700404857","3","247","181","9.352226720647772"
"3","2","28","3.9657794676806084","3","263","119","9.338403041825096"
"2","1","24","4.060344827586207","5","232","125","9.275862068965518"
"1","0.5","19","4.008695652173913","5","230","152","9.504347826086956"
"5","0.5","31","4.085106382978723","7","235","161","9.268085106382978"
"4","4","29","4.048672566371682","5","226","178","9.079646017699115"
"4","4","30","4.048672566371682","5","226","178","9.079646017699115"
"6","1","30","3.9595141700404857","3","247","181","9.352226720647772"
"3","2","29","3.961977186311787","3","263","119","9.338403041825096"
"1","0.5","20","4.008695652173913","5","230","152","9.504347826086956"
"5","0.5","32","4.085106382978723","7","235","161","9.268085106382978"
"3","2","30","3.9616858237547894","4","261","119","9.279693486590038"
"5","0.5","33","4.085106382978723","7","235","161","9.268085106382978"
"1","0.5","21","4.008695652173913","5","230","152","9.504347826086956"
"4","4","31","4.0488888888888885","5","225","193","9.164444444444445"
"4","4","32","4.053571428571429","5","224","193","9.125"
"4","4","33","4.0625","5","224","193","9.125"
"6","1","31","3.959349593495935","4","246","194","9.414634146341463"
"3","2","31","3.9575289575289574","4","259","126","9.258687258687258"
"6","1","32","3.959349593495935","4","246","194","9.414634146341463"
"1","0.5","22","4.008695652173913","5","230","156","9.539130434782608"
"3","2","32","3.9613899613899615","4","259","126","9.258687258687258"
"5","0.5","34","4.086206896551724","8","232","170","9.25"
"6","1","33","3.9591836734693877","4","245","194","9.371428571428572"
"3","2","33","3.9536679536679538","4","259","126","9.258687258687258"
"2","1","25","3.7171314741035855","7","251","145","9.187250996015937"
"1","0.5","23","4.008695652173913","5","230","156","9.539130434782608"
"5","0.5","35","4.086956521739131","10","230","170","9.156521739130435"
"4","4","34","4.058295964125561","5","223","211","9.27354260089686"
"4","4","35","4.058295964125561","5","223","211","9.27354260089686"
"2","1","26","4.072","7","250","145","9.144"
"1","0.5","24","4.008695652173913","5","230","156","9.539130434782608"
"5","0.5","36","4.086956521739131","10","230","170","9.156521739130435"
"4","4","36","4.058295964125561","5","223","211","9.27354260089686"
"2","1","27","4.080645161290323","7","248","145","9.056451612903226"
"6","1","34","3.9588477366255144","4","243","207","9.390946502057613"
"3","2","34","3.9536679536679538","4","259","133","9.312741312741313"
"6","1","35","3.9588477366255144","4","243","207","9.390946502057613"
"3","2","35","3.953307392996109","5","257","133","9.237354085603112"
"3","2","36","3.953307392996109","5","257","133","9.237354085603112"
"6","1","36","3.9588477366255144","4","243","207","9.390946502057613"
"1","0.5","25","3.688","5","250","157","9.2"
"4","4","37","3.778242677824268","5","239","219","9.205020920502092"
"2","1","28","4.077551020408163","9","245","165","9.093877551020409"
"1","0.5","26","4","5","250","157","9.2"
"4","4","38","4.050209205020921","5","239","219","9.205020920502092"
"2","1","29","4.073469387755102","9","245","165","9.093877551020409"
"5","0.5","37","3.7007874015748032","10","254","190","9.10236220472441"
"4","4","39","4.050209205020921","5","239","219","9.205020920502092"
"1","0.5","27","4","5","249","157","9.156626506024097"
"2","1","30","4.073469387755102","9","245","165","9.093877551020409"
"5","0.5","38","4.043478260869565","10","253","190","9.059288537549406"
"5","0.5","39","4.031746031746032","10","252","190","9.015873015873016"
"6","1","37","3.848","4","250","219","9.44"
"4","4","40","4.054393305439331","5","239","234","9.330543933054393"
"3","2","37","3.8037735849056604","5","265","144","9.245283018867925"
"3","2","38","3.912878787878788","5","264","144","9.204545454545455"
"4","4","41","4.067510548523207","6","237","234","9.240506329113924"
"1","0.5","28","4","5","249","165","9.220883534136545"
"6","1","38","3.9475806451612905","5","248","219","9.35483870967742"
"4","4","42","4.068085106382979","6","235","234","9.148936170212766"
"3","2","39","3.9356060606060606","5","264","144","9.204545454545455"
"6","1","39","3.9552845528455283","6","246","219","9.268292682926829"
"1","0.5","29","4","5","248","165","9.17741935483871"
"5","0.5","40","4.031746031746032","10","252","199","9.087301587301587"
"1","0.5","30","4","5","248","165","9.17741935483871"
"2","1","31","4.070247933884297","10","242","187","9.140495867768594"
"5","0.5","41","4.028","10","250","199","9.008"
"2","1","32","4.070247933884297","10","242","187","9.140495867768594"
"5","0.5","42","4.024193548387097","11","248","199","8.92741935483871"
"4","4","43","4.064655172413793","7","232","254","9.181034482758621"
"2","1","33","4.071129707112971","11","239","187","9.06276150627615"
"3","2","40","3.9346153846153844","5","260","153","9.107692307692307"
"4","4","44","4.064935064935065","8","231","254","9.142857142857142"
"6","1","40","3.9552845528455283","6","246","241","9.447154471544716"
"4","4","45","4.060869565217391","9","230","254","9.095652173913043"
"6","1","41","3.9552845528455283","6","246","241","9.447154471544716"
"3","2","41","3.9423076923076925","5","260","153","9.107692307692307"
"1","0.5","31","4","6","246","171","9.138211382113822"
"3","2","42","3.942084942084942","6","259","153","9.073359073359073"
"6","1","42","3.9552845528455283","6","246","241","9.447154471544716"
"1","0.5","32","4","6","244","171","9.049180327868852"
"1","0.5","33","4","6","244","171","9.049180327868852"
"5","0.5","43","4.0242914979757085","11","247","221","9.06072874493927"
"2","1","34","4.075313807531381","11","239","214","9.288702928870293"
"4","4","46","4.06113537117904","9","229","283","9.301310043668122"
"5","0.5","44","4.024489795918368","12","245","221","8.971428571428572"
"2","1","35","4.07563025210084","11","238","214","9.243697478991596"
"4","4","47","4.06140350877193","10","228","283","9.263157894736842"
"5","0.5","45","4.02880658436214","13","243","221","8.880658436213992"
"4","4","48","4.06140350877193","10","228","283","9.263157894736842"
"6","1","43","3.9551020408163264","6","245","248","9.461224489795919"
"2","1","36","4.075949367088608","11","237","214","9.19831223628692"
"6","1","44","3.9549180327868854","7","244","248","9.418032786885245"
"3","2","43","3.941860465116279","6","258","174","9.193798449612403"
"3","2","44","3.941860465116279","6","258","174","9.193798449612403"
"6","1","45","3.9549180327868854","7","244","248","9.418032786885245"
"1","0.5","34","4","6","243","192","9.176954732510287"
"3","2","45","3.9416342412451364","7","257","174","9.151750972762645"
"1","0.5","35","4","6","243","192","9.176954732510287"
"5","0.5","46","4.029045643153527","14","241","248","9.020746887966805"
"4","4","49","3.794238683127572","11","243","301","9.358024691358025"
"1","0.5","36","4","6","241","192","9.08713692946058"
"6","1","46","3.9545454545454546","7","242","261","9.438016528925619"
"4","4","50","4.037037037037037","11","243","301","9.358024691358025"
"5","0.5","47","4.024896265560166","14","241","248","9.020746887966805"
"6","1","47","3.9545454545454546","7","242","261","9.438016528925619"
"4","4","51","4.037037037037037","11","243","301","9.358024691358025"
"5","0.5","48","4.024896265560166","14","241","248","9.020746887966805"
"2","1","37","3.9068825910931175","11","247","235","9.433198380566802"
"6","1","48","3.954356846473029","7","241","261","9.394190871369295"
"3","2","46","3.9411764705882355","8","255","192","9.223529411764705"
"2","1","38","4.073170731707317","11","246","235","9.390243902439025"
