"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"CVD_Risk_Behaviour.nlogox"
"Experiment_4A_Inflow"
"07/28/2026 22:12:53:499 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","annual_inflow","monthly-outmigration-prob","influence_weight_friend","gamma_net","relapse_friend_threshold","p_relapse","gamma_behavior","N_h","t_lag_years","theta_tol","omega_age","influence_weight_household","F_max","[step]","count turtles","mean [risk-score] of turtles"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","245","3.8612244897959185"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","252","3.7261904761904763"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","245","4.073469387755102"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","12","253","3.9446640316205532"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","245","4.077551020408163"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","251","4.091633466135458"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","248","3.9798387096774195"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","248","4.068548387096774"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","250","4.084"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","20","247","4.064777327935222"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","20","248","3.9798387096774195"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","21","247","4.068825910931174"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","262","3.7099236641221376"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","21","248","3.9798387096774195"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","261","4.076628352490421"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","16","244","4.081967213114754"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","16","248","4.080645161290323"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","261","4.080459770114943"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","22","247","4.064777327935222"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","17","247","4.089068825910931"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","22","246","3.9715447154471546"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","23","247","4.064777327935222"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","17","243","4.082304526748971"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","23","246","3.9634146341463414"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","24","247","4.064777327935222"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","18","247","4.097165991902834"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","16","261","4.076628352490421"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","24","245","3.963265306122449"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","18","240","4.075"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","17","260","4.073076923076923"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","276","3.6159420289855073"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","18","260","4.069230769230769"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","276","3.960144927536232"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","25","266","3.7593984962406015"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","275","3.9563636363636365"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","26","266","4.086466165413534"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","247","4.097165991902834"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","25","271","3.5830258302583027"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","27","265","4.079245283018868"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","20","246","4.1016260162601625"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","256","4.07421875"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","240","4.079166666666667"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","20","255","4.070588235294117"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","20","239","4.079497907949791"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","21","243","4.098765432098766"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","16","273","3.95970695970696"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","26","271","4.003690036900369"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","28","265","4.079245283018868"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","21","255","4.070588235294117"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","21","237","4.075949367088608"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","27","271","3.992619926199262"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","17","272","3.9595588235294117"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","29","263","4.079847908745247"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","30","262","4.080152671755725"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","22","242","4.099173553719008"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","18","271","3.96309963099631"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","23","241","4.0995850622406635"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","28","271","3.996309963099631"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","24","241","4.0995850622406635"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","22","237","4.075949367088608"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","29","268","3.9925373134328357"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","22","254","4.070866141732283"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","23","237","4.075949367088608"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","31","262","4.083969465648855"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","30","267","4"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","24","237","4.075949367088608"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","23","253","4.067193675889328"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","270","3.966666666666667"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","32","262","4.080152671755725"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","20","269","3.966542750929368"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","24","253","4.067193675889328"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","33","259","4.081081081081081"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","21","265","3.9622641509433962"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","25","262","3.7709923664122136"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","25","258","3.744186046511628"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","26","261","4.126436781609195"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","31","264","3.9886363636363638"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","27","260","4.142307692307693"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","34","258","4.093023255813954"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","26","256","4.06640625"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","32","264","3.981060606060606"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","22","265","3.9584905660377356"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","27","255","4.074509803921568"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","35","257","4.0778210116731515"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","33","263","3.9809885931558937"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","25","266","3.8684210526315788"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","23","265","3.9584905660377356"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","36","254","4.078740157480315"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","26","265","4.033962264150944"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","24","265","3.9584905660377356"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","27","265","4.0452830188679245"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","28","255","4.074509803921568"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","34","263","3.9809885931558937"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","29","255","4.074509803921568"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","28","260","4.15"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","35","262","3.980916030534351"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","30","255","4.074509803921568"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","29","259","4.146718146718147"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","36","261","3.9808429118773945"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","28","262","4.0458015267175576"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","30","259","4.146718146718147"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","37","276","3.7572463768115942"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","25","277","3.7725631768953067"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","31","255","4.074509803921568"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","38","276","4.130434782608695"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","26","276","3.9528985507246377"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","29","262","4.0458015267175576"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","27","273","3.948717948717949"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","39","275","4.109090909090909"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","30","262","4.049618320610687"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","32","253","4.071146245059288"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","31","259","4.146718146718147"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","33","253","4.071146245059288"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","37","280","3.6964285714285716"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","32","259","4.146718146718147"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","33","259","4.146718146718147"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","38","279","4.010752688172043"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","39","277","4.003610108303249"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","40","273","4.1098901098901095"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","28","271","3.944649446494465"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","41","272","4.102941176470588"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","29","271","3.9483394833948338"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","31","262","4.0458015267175576"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","42","272","4.099264705882353"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","32","262","4.057251908396947"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","30","270","3.9444444444444446"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","34","253","4.067193675889328"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","34","258","4.151162790697675"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","35","253","4.067193675889328"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","35","253","4.146245059288537"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","33","262","4.057251908396947"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","40","277","4.007220216606498"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","36","252","4.138888888888889"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","36","253","4.067193675889328"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","41","276","4.003623188405797"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","42","274","4"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","43","271","4.099630996309963"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","34","262","4.057251908396947"
