"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"CVD_Risk_Behaviour.nlogox"
"Experiment_4B_Outmigration"
"07/28/2026 22:20:41:780 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","annual_inflow","monthly-outmigration-prob","influence_weight_friend","gamma_net","relapse_friend_threshold","p_relapse","gamma_behavior","N_h","t_lag_years","theta_tol","omega_age","influence_weight_household","F_max","[step]","count turtles","mean [count link-neighbors] of turtles","mean [risk-score] of turtles"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","11","241","11.950207468879668","3.912863070539419"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","12","240","11.891666666666667","3.9125"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","10","233","12.266094420600858","3.9785407725321886"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","10","223","12.044843049327355","3.905829596412556"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","11","230","12.104347826086956","3.973913043478261"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","247","11.96761133603239","3.785425101214575"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","11","222","12","3.9054054054054053"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","12","230","12.104347826086956","3.9695652173913043"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","246","11.926829268292684","3.975609756097561"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","12","221","11.963800904977376","3.909502262443439"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","10","236","12.279661016949152","4.012711864406779"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","246","11.926829268292684","3.9796747967479673"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","11","235","12.229787234042552","4.012765957446809"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","7","236","12.211864406779661","4.072033898305085"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","12","235","12.229787234042552","4.012765957446809"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","259","11.799227799227799","3.6254826254826256"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","8","235","12.170212765957446","4.072340425531915"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","258","11.744186046511627","3.895348837209302"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","9","235","12.170212765957446","4.072340425531915"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","16","246","12.008130081300813","3.9796747967479673"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","17","244","11.901639344262295","3.9836065573770494"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","258","11.744186046511627","3.895348837209302"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","18","243","11.851851851851851","3.9917695473251027"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","243","11.925925925925926","3.7242798353909463"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","241","11.817427385892117","3.991701244813278"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","253","11.873517786561266","3.7114624505928853"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","236","11.76271186440678","3.6610169491525424"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","10","234","12.205128205128204","4.072649572649572"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","253","11.873517786561266","4.0355731225296445"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","241","11.817427385892117","4.004149377593361"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","242","11.884297520661157","3.987603305785124"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","253","11.873517786561266","4.0395256916996045"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","16","258","11.782945736434108","3.895348837209302"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","235","11.71063829787234","3.9063829787234043"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","20","241","11.842323651452283","3.987551867219917"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","17","258","11.782945736434108","3.895348837209302"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","11","234","12.205128205128204","4.072649572649572"
